popularity,budget,revenue,original_title,director,genres,production_companies,release_date,release_year
3.927333,0,29355203,Mr. Holmes,Bill Condon,Mystery|Drama,BBC Films|See-Saw Films|FilmNation Entertainment|Archer Gray|AI-Film,6/19/15,2015
3.899557,49000000,102069268,Chappie,Neill Blomkamp,Crime|Action|Science Fiction,Columbia Pictures|Media Rights Capital|Sony Pictures Entertainment (SPE)|Alpha Core|Genre Films,3/4/15,2015
3.877764,29000000,287506194,Pitch Perfect 2,Elizabeth Banks,Comedy|Music,Universal Pictures|Gold Circle Films|Brownstone Productions,5/7/15,2015
3.64821,40000000,162610473,Bridge of Spies,Steven Spielberg,Thriller|Drama,DreamWorks SKG|Amblin Entertainment|Studio Babelsberg|Fox 2000 Pictures|Marc Platt Productions,10/15/15,2015
3.644541,58000000,150170815,Goosebumps,Rob Letterman,Adventure|Horror|Comedy,Columbia Pictures|Original Film|Scholastic Entertainment,8/5/15,2015
3.557846,6000000,35401758,Room,Lenny Abrahamson,Drama|Thriller,Element Pictures|No Trace Camping|A24|Duperele Films,10/16/15,2015
3.358321,0,22354572,Solace,Afonso Poyart,Crime|Drama|Mystery,Eden Rock Media|FilmNation Entertainment|Flynn Picture Company,9/3/15,2015
3.339135,175000000,331926147,The Good Dinosaur,Peter Sohn,Adventure|Animation|Comedy|Family|Fantasy,Walt Disney Pictures|Pixar Animation Studios|Buena Vista,11/14/15,2015
3.23737,50000000,71561644,Run All Night,Jaume Collet-Serra,Action|Crime|Drama|Mystery|Thriller,Vertigo Entertainment|Energy Entertainment|RatPac-Dune Entertainment,3/11/15,2015
3.227329,11000000,62076141,Brooklyn,John Crowley,Drama|Romance,Wildgaze Films|Irish Film Board|Item 7|Parallel Film Productions,11/4/15,2015
3.202719,28000000,201634991,Straight Outta Compton,F. Gary Gray,Drama|Music,New Line Cinema|Universal Pictures|Legendary Pictures|Cube Vision|Broken Chair Flickz,8/13/15,2015
3.080505,90000000,140396650,The Last Witch Hunter,Breck Eisner,Fantasy|Action|Adventure,Summit Entertainment|Atmosphere Entertainment MM|One Race Films|Goldmann Pictures|NeoReel,10/21/15,2015
3.079522,30000000,34441873,Steve Jobs,Danny Boyle,History|Drama,Universal Pictures|Scott Rudin Productions|Legendary Pictures|The Mark Gordon Company|Management 360,10/9/15,2015
3.053421,75000000,108145109,The Man from U.N.C.L.E.,Guy Ritchie,Comedy|Action|Adventure,Davis Entertainment|Warner Bros.|Wigram Productions|RatPac-Dune Entertainment,8/13/15,2015
3.025852,25000000,42629776,The Age of Adaline,Lee Toland Krieger,Fantasy|Drama|Romance,Lakeshore Entertainment|Sidney Kimmel Entertainment|Sierra/Affinity,4/16/15,2015
3.023253,10000000,14333790,Hardcore Henry,Ilya Naishuller,Action|Adventure|Science Fiction,Bazelevs Production|Versus Pictures,9/12/15,2015
2.976436,135000000,368871007,Home,Tim Johnson,Fantasy|Comedy|Animation|Science Fiction|Family,Twentieth Century Fox Film Corporation|DreamWorks Animation,3/18/15,2015
2.968254,12000000,85512300,Paper Towns,Jake Schreier,Drama|Mystery|Romance,Fox 2000 Pictures,7/9/15,2015
2.93234,30000000,0,Wild Card,Simon West,Thriller|Crime|Drama,Current Entertainment|Lionsgate|Sierra / Affinity|SJ Heat Productions|Silver State Production Services,1/14/15,2015
2.885126,4000000,9064511,The Lobster,Yorgos Lanthimos,Thriller|Comedy|Drama|Romance|Science Fiction,Haut et Court|Eurimages|Lemming Film|Element Pictures|Nederlands Fonds voor de Film,10/8/15,2015
2.883233,11800000,40272135,Carol,Todd Haynes,Romance|Drama,Killer Films|Film4|Number 9 Films,11/20/15,2015
2.814802,35000000,194564672,The Intern,Nancy Meyers,Comedy,Waverly Films|Warner Bros.,9/24/15,2015
2.798017,55000000,203427584,Everest,Baltasar KormÃ¡kur,Adventure|Drama,Universal Pictures|Working Title Films|Walden Media|Cross Creek Pictures|Free State Pictures,9/10/15,2015
2.793297,60000000,101134059,Joy,David O. Russell,Comedy|Drama,Fox 2000 Pictures|Davis Entertainment|Annapurna Pictures|TSG Entertainment,12/24/15,2015
2.614499,105000000,133718711,Point Break,Ericson Core,Action|Crime|Thriller,Studio Babelsberg|Alcon Entertainment|DMG Entertainment|Ehman Productions,12/3/15,2015
2.584264,20000000,36606743,Burnt,John Wells,Drama,Double Feature Films|PeaPie Films|3 Arts Entertainment,10/2/15,2015
2.578919,26000000,30523226,Self/less,Tarsem Singh,Science Fiction|Mystery|Thriller,Endgame Entertainment|Ram Bergman Productions,7/10/15,2015
2.575711,60000000,30418560,Mortdecai,David Koepp,Comedy|Adventure,Lionsgate|Mad Chance|OddLot Entertainment|Huayi Brothers Media,1/21/15,2015
2.557859,15000000,64191523,The Danish Girl,Tom Hooper,Drama,Pretty Pictures|Working Title Films|ArtÃ©mis Productions|Le Tax Shelter du Gouvernement FÃ©dÃ©ral de Belgique|Taxshelter. be,11/27/15,2015
2.550747,70000000,17752940,Blackhat,Michael Mann,Mystery|Crime|Action|Thriller|Drama,Universal Pictures|Forward Pass|Legendary Pictures,1/13/15,2015
2.487849,30000000,84025816,Sicario,Denis Villeneuve,Action|Crime|Drama|Mystery|Thriller,Lionsgate|Thunder Road Pictures|Black Label Media,9/17/15,2015
2.487042,120000001,167977596,Fantastic Four,Josh Trank,Action|Adventure|Science Fiction,Twentieth Century Fox Film Corporation|Marv Films|Marvel Entertainment|Constantin Film.|Moving Picture Company (MPC),8/5/15,2015
2.46449,3500000,40423945,The Witch,Robert Eggers,Mystery|Horror,Parts and Labor|RT Features|Rooks Nest Entertainment|Maiden Voyage Pictures|Pulse Films,3/24/15,2015
2.404473,65000000,235666219,Spy,Paul Feig,Action|Comedy|Crime,Twentieth Century Fox Film Corporation|Chernin Entertainment|Feigco Entertainment,5/6/15,2015
2.395366,50100000,153962963,Focus,Glenn Ficarra|John Requa,Romance|Comedy|Crime|Drama,Kramer & Sigman Films|RatPac-Dune Entertainment|Zaftig Films,2/25/15,2015
2.354654,35000000,82347656,Hitman: Agent 47,Aleksander Bach,Action|Crime|Thriller,Twentieth Century Fox Film Corporation|Fox International Productions|Infinite Frameworks Studios|TSG Entertainment,8/20/15,2015
2.345821,100000000,93820758,In the Heart of the Sea,Ron Howard,Thriller|Drama|Adventure|Action|History,Imagine Entertainment|Spring Creek Productions|Warner Bros.|Roth Films|K. JAM Media,11/20/15,2015
2.331636,20000000,0,Survivor,James McTeigue,Crime|Thriller|Action,Nu Image Films|Winkler Films|Millennium Films|Survivor Productions,5/21/15,2015
2.331567,35000000,137935567,Creed,Ryan Coogler,Drama,New Line Cinema|Warner Bros.|Metro-Goldwyn-Mayer (MGM)|Chartoff-Winkler Productions,11/25/15,2015
2.31767,35000000,140795793,Trainwreck,Judd Apatow,Comedy,Universal Pictures|Fuji Television Network|Dentsu|Apatow Productions,7/17/15,2015
2.29573,13000000,32848185,Eye in the Sky,Gavin Hood,Drama|Thriller|War,Entertainment One|Moonlighting Films|Raindog Films,9/11/15,2015
2.28135,25000000,42972994,Legend,Brian Helgeland,Crime|Thriller,Working Title Films|Cross Creek Pictures|Anton Capital Entertainment (ACE),9/9/15,2015
2.272044,0,45895,Beyond the Reach,Jean-Baptiste LÃ©onetti,Thriller,Furthur Films,4/17/15,2015
2.234573,150000000,128388320,Pan,Joe Wright,Adventure|Family|Fantasy,Warner Bros.|Moving Picture Company (MPC)|Berlanti Productions|RatPac-Dune Entertainment,9/24/15,2015
2.165433,0,0,Mythica: The Darkspore,Anne K. Black,Action|Adventure|Fantasy,Arrowstorm Entertainment,6/24/15,2015
2.141506,0,0,Me and Earl and the Dying Girl,Alfonso Gomez-Rejon,Comedy|Drama,Indian Paintbrush,6/12/15,2015
2.140199,99000000,246233113,The Peanuts Movie,Steve Martino,Adventure|Animation|Comedy|Family,Blue Sky Studios|Twentieth Century Fox Animation|Feigco Entertainment,11/5/15,2015
2.121884,35000000,48623572,Concussion,Peter Landesman,Drama,Village Roadshow Pictures|Scott Free Productions|LStar Capital|The Cantillon Company|The Shuman Company,11/12/15,2015
2.096273,25000000,52395996,The Night Before,Jonathan Levine,Comedy,Sony Pictures|Point Grey Pictures|Good Universe,11/20/15,2015
2.080935,2500000,5214043,Knock Knock,Eli Roth,Drama|Horror|Thriller,Universum Film (UFA)|Dragonfly Entertainment|Black Bear Pictures|Square One Entertainment|Sobras International Pictures,6/26/15,2015
2.070708,34000000,63013281,The Longest Ride,"George Tillman, Jr.",Romance|Drama,Fox 2000 Pictures|Temple Hill Entertainment,4/9/15,2015
2.060162,80000000,466183544,Hotel Transylvania 2,Genndy Tartakovsky,Animation|Comedy|Family,Columbia Pictures|Sony Pictures Animation,9/21/15,2015
2.055572,17000000,24000000,Love the Coopers,Jessie Nelson,Family|Comedy,Imagine Entertainment|Groundswell Productions|CBS Films,11/12/15,2015
2.049886,35000000,61181942,The Walk,Robert Zemeckis,Adventure|Drama|Thriller,TriStar Pictures|Sony Pictures Entertainment|ImageMovers,9/30/15,2015
2.026651,11000000,1863315,Tracers,Daniel Benmayor,Action|Crime|Drama,Temple Hill Entertainment|Senator Film|Freerunning|Melbarken|Saban Films,1/15/15,2015
2.000338,31000000,104384188,Vacation,John Francis Daley|Jonathan M. Goldstein,Adventure|Comedy,New Line Cinema|BenderSpink|David Dobkin Productions,7/28/15,2015
1.984529,35000000,95437994,Poltergeist,Gil Kenan,Horror|Thriller,Ghost House Pictures|Vertigo Entertainment|Metro-Goldwyn-Mayer (MGM)|TSG Entertainment,5/20/15,2015
1.980039,4000000,187112,Maggie,Henry Hobson,Horror,Lionsgate|Grindstone Entertainment Group|Silver Reel|Sly Predator|Matt Baer Films,5/8/15,2015
1.959765,0,2000000,Equals,Drake Doremus,Drama|Romance|Science Fiction,Scott Free Productions|Infinite Frameworks Studios|Freedom Media|Route One Entertainment,9/4/15,2015
1.95632,50000000,3324330,Child 44,Daniel Espinosa,Crime|Thriller,Summit Entertainment|Scott Free Productions|Worldview Entertainment,3/15/15,2015
1.926739,5000000,58978653,The Gift,Joel Edgerton,Thriller|Mystery,Blumhouse Productions|Blue-Tongue Films|STX Entertainment|Ahimsa Films,7/30/15,2015
1.904898,50000000,240360392,Daddy's Home,Sean Anders,Comedy,Paramount Pictures|Gary Sanchez Productions|Good Universe|Red Granite Pictures,12/25/15,2015
1.876037,0,0,Mythica: The Necromancer,A. Todd Smith,Fantasy|Action|Adventure,Arrowstorm Entertainment|Camera 40 Productions|Bellpond Films,12/19/15,2015
1.872696,10000000,0,Vice,Brian A Miller,Thriller|Science Fiction|Action|Adventure,Grindstone Entertainment Group|K5 International|Emmett/Furla Films|Aperture Entertainment,1/16/15,2015
1.865007,64000000,97571250,The Little Prince,Mark Osborne,Adventure|Animation|Fantasy,Onyx Films|Orange Studios|CityMation|On Entertainment|Zippcast Films,7/29/15,2015
1.841779,0,233755553,Alvin and the Chipmunks: The Road Chip,Walt Becker,Adventure|Animation|Comedy|Family,Regency Enterprises|Fox 2000 Pictures|Sunswept Entertainment|Bagdasarian Productions|TSG Entertainment,12/17/15,2015
1.82313,11930000,18340000,The Dressmaker,Jocelyn Moorhouse,Drama,Amazon Studios|Film Art Media|Apollo Media,10/1/15,2015
1.758618,8500000,43528634,The DUFF,Ari Sandel,Romance|Comedy,Wonderland Sound and Vision|CBS Films|Vast Entertainment,2/20/15,2015
1.742286,10000000,52882018,Sinister 2,Ciaran Foy,Horror,Alliance Films|Blumhouse Productions|IM Global|Automatik Entertainment|Entertainment One,8/19/15,2015
1.73518,30000000,107597242,Paul Blart: Mall Cop 2,Andy Fickman,Action|Adventure|Comedy|Family,Columbia Pictures|Happy Madison Productions|Sony Pictures Releasing|Sony Pictures Home Entertainment|Sony Pictures Entertainment (SPE),4/16/15,2015
1.724712,0,0,Frozen Fever,Chris Buck|Jennifer Lee,Adventure|Animation|Family,Walt Disney Pictures|Walt Disney Animation Studios,3/9/15,2015
1.661789,0,0,High-Rise,Ben Wheatley,Action|Drama|Science Fiction,Ingenious Media|HanWay Films|Scope Pictures|Recorded Picture Company (RPC)|Northern Ireland Screen,9/26/15,2015
1.651078,4000000,50163103,The Boy Next Door,Rob Cohen,Thriller,Universal Pictures|Nuyorican Productions|Blumhouse Productions|Smart Entertainment,1/23/15,2015
1.646664,0,0,Spooks: The Greater Good,Bharat Nalluri,Thriller|Action,BBC Films|Isle of Man Film|Shine Pictures|Kudos Film and Television|Pinewood Pictures,4/11/15,2015
1.532997,30000000,49263404,Entourage,Doug Ellin,Comedy,Warner Bros.|Closest to the Hole Productions,6/3/15,2015
1.510096,23000000,79799880,The Wedding Ringer,Jeremy Garelick,Comedy,Miramax Films|Screen Gems|LStar Capital,1/16/15,2015
1.499614,15000000,14860766,Scouts Guide to the Zombie Apocalypse,Christopher B. Landon,Comedy|Horror,Paramount Pictures|Oops Doughnuts Productions|Broken Road Productions|Brucks Entertainment,10/23/15,2015
1.495112,5000000,98450062,The Visit,M. Night Shyamalan,Horror|Thriller,Blumhouse Productions|Blinding Edge Pictures,9/10/15,2015
1.483246,53000000,99775678,Black Mass,Scott Cooper,Crime|Drama,Infinitum Nihil|Head Gear Films|Cross Creek Pictures|Free State Pictures|RatPac-Dune Entertainment,9/4/15,2015
1.449072,8900000,50136,Heist,Scott Mann,Crime|Action|Thriller,Emmett/Furla Films|Silver Plane Films|Mass Hysteria Entertainment|Tri Vision Pictures,11/13/15,2015
1.448002,15000000,61548707,Krampus,Michael Dougherty,Horror|Comedy|Fantasy,Universal Pictures|Legendary Pictures,11/26/15,2015
1.443406,20000000,208588,Dark Places,Gilles Paquet-Brenner,Drama|Mystery|Thriller,Denver and Delilah Productions|Mandalay Vision|Exclusive Media Group|Hugo Productions|Cuatro Plus Films,3/31/15,2015
1.41239,5000000,54418872,No Escape,John Erick Dowdle,Action|Thriller,Bold Films|Living Films|Brothers Dowdle Productions,8/26/15,2015
1.40805,700000,17986781,Dope,Rick Famuyiwa,Crime|Drama|Comedy,Forest Whitaker's Significant Productions|Revolt Films|IamOTHER Entertainment,6/19/15,2015
1.388251,28000000,28208085,American Ultra,Nima Nourizadeh,Comedy|Action,Concorde Filmverleih|Likely Story|FilmNation Entertainment|Circle of Confusion|The Bridge Finance Company,8/19/15,2015
1.388032,11000000,61619773,Woman in Gold,Simon Curtis,Drama,BBC Films|Origin Pictures,4/10/15,2015
1.38032,0,0,The Scorpion King: The Lost Throne,Mike Elliott,Action|Fantasy|Adventure,Universal Pictures,1/9/15,2015
1.376605,30000000,105011053,Sisters,Jason Moore,Comedy,Little Stranger,12/18/15,2015
1.360926,12000000,32248241,Project Almanac,Dean Israelite,Science Fiction|Thriller,Paramount Pictures|MTV Films|Platinum Dunes|Insurge Pictures,1/30/15,2015
1.360827,0,5189646,Absolutely Anything,Terry Jones,Comedy|Science Fiction,Premiere Picture|Bill and Ben Productions|GFM films,6/26/15,2015
1.355822,25000000,72629670,The Transporter Refueled,Camille Delamarre,Thriller|Action|Crime,EuropaCorp,9/3/15,2015
1.345982,55000000,74679822,Crimson Peak,Guillermo del Toro,Mystery|Thriller|Fantasy|Horror|Drama,Legendary Pictures,10/13/15,2015
1.342839,0,0,Everly,Joe Lynch,Thriller|Action,"Crime Scene Pictures|Radius-TWC|Anonymous Content|Vega, Baby!",1/23/15,2015
1.338481,14800000,122413057,Magic Mike XXL,Gregory Jacobs,Comedy|Drama|Music,Warner Bros.|Iron Horse Entertainment (II),7/1/15,2015
1.338322,10000000,78099553,Paranormal Activity: The Ghost Dimension,Gregory Plotkin,Horror|Thriller,Paramount Pictures|Blumhouse Productions,10/21/15,2015
1.329702,0,229094,Slow West,John Maclean,Romance|Thriller|Western,The New Zealand Film Commission|Film4|See Saw Films|DMC Films,4/16/15,2015
1.316239,15000000,8235661,Trumbo,Jay Roach,Drama,Groundswell Productions|Inimitable Pictures|ShivHans Pictures,10/27/15,2015
1.315266,19500000,32189727,Secret in Their Eyes,Billy Ray,Crime|Drama|Mystery,Ingenious Media|Gran Via Productions|IM Global|Route One Films,10/14/15,2015
1.29314,0,2500431,Mistress America,Noah Baumbach,Comedy,RT Features,8/14/15,2015
1.291013,74000000,311594032,The SpongeBob Movie: Sponge Out of Water,Paul Tibbitt,Family|Animation,Paramount Pictures|Nickelodeon Movies|Nickelodeon Animation Studios|United Plankton Pictures|Disruption Entertainment,2/5/15,2015
1.284541,0,4719695,True Story,Rupert Goold,Crime|Drama|Mystery,Plan B Entertainment|Regency Enterprises|New Regency Pictures,4/17/15,2015
1.278928,20000000,43967255,Max,Boaz Yakin,Adventure|Drama|Family,Sunswept Entertainment|Warner Bros.|Metro-Goldwyn-Mayer (MGM),6/26/15,2015
1.25358,0,59700000,Shaun the Sheep Movie,Mark Burton|Richard Starzack,Family|Animation|Comedy|Adventure,Aardman Animations|Studio Canal|Anton Capital Entertainment (ACE),2/5/15,2015
1.251681,11000000,0,Louder Than Bombs,Joachim Trier,Drama,Motlys|Arte France CinÃ©ma|Animal Kingdom,5/18/15,2015
1.245224,0,1702433,A Perfect Day,Fernando LeÃ³n de Aranoa,Comedy|Drama,Reposado Producciones|TelevisiÃ³n EspaÃ±ola (TVE)|Mediapro,8/28/15,2015
1.225325,40000000,10664749,The Gunman,Pierre Morel,Action|Drama|Crime,StudioCanal|Silver Pictures|TF1 Films Production|Canal+|Instituto de la CinematografÃ­a y de las Artes Audiovisuales (ICAA),2/16/15,2015
1.191138,1000000,62882090,Unfriended,Levan Gabriadze,Horror|Thriller,Bazelevs Production|Blumhouse Productions,4/17/15,2015
1.178831,35000000,51680201,Hot Pursuit,Anne Fletcher,Action|Crime|Comedy,New Line Cinema|Warner Bros.|Metro-Goldwyn-Mayer (MGM)|Pacific Standard,5/8/15,2015
1.164724,10000000,104303851,Insidious: Chapter 3,Leigh Whannell,Drama|Horror|Thriller,Sony Pictures,6/4/15,2015
1.161812,0,118483,Z for Zachariah,Craig Zobel,Drama|Science Fiction|Thriller,Palomar Pictures|Lucky Hat Entertainment|Silver Reel|Material Pictures|Zik Zak Kvikmyndir,8/13/15,2015
1.144808,0,0,Dragonheart 3: The Sorcerer's Curse,Colin Teague,Action|Adventure|Fantasy,Raffaella Productions,2/24/15,2015
1.142518,6000000,41387687,The Lady in the Van,Nicholas Hytner,Comedy|Drama,BBC Films|TriStar Productions,11/13/15,2015
1.138395,40000000,34227298,Victor Frankenstein,Paul McGuigan,Drama|Science Fiction|Thriller,Twentieth Century Fox Film Corporation|Davis Entertainment|Moving Picture Company (MPC)|TSG Entertainment,11/10/15,2015
1.128081,0,0,Brothers of the Wind,Gerado Olivares|Otmar Penker,Adventure|Drama|Family,Terra Mater Factual Studios,12/24/15,2015
1.125239,8000000,3759286,Anomalisa,Duke Johnson|Charlie Kaufman,Animation|Comedy|Drama|Romance,Starburns Industries,12/30/15,2015
1.073349,1800000,0,Bone Tomahawk,S. Craig Zahler,Horror|Western|Adventure|Drama,Caliber Media Company|The Fyzz Facility|Realbuilder Productions,10/23/15,2015
1.065888,0,17671101,Regression,Alejandro AmenÃ¡bar,Horror|Mystery|Thriller,The Weinstein Company|HimenÃ³ptero|First Generation Films|Mod Producciones|FilmNation Entertainment,10/1/15,2015
1.063055,0,0,Pawn Sacrifice,Edward Zwick,Drama,Material Pictures|MICA Entertainment|PalmStar Media|Gail Katz Productions,9/16/15,2015
1.046518,0,11472454,The Man Who Knew Infinity,Matt Brown,Drama,Animus Films|Edward R. Pressman Film|Kreo Films FZ|Xeitgeist Entertainment Group|American Entertainment Investors,9/17/15,2015
1.041922,20000000,0,Momentum,Stephen S. Campanelli,Thriller|Action,Thaba Media|Azari Media,8/1/15,2015
1.03839,2000000,1477002,The Diary of a Teenage Girl,Marielle Heller,Drama|Romance,Caviar Films|Cold Iron Pictures|Archer Gray,8/7/15,2015
1.036825,0,0,Pay the Ghost,Uli Edel,Horror|Thriller,Voltage Films|Midnight Kitchen Productions,9/16/15,2015
1.02762,0,0,The Voices,Marjane Satrapi,Horror|Thriller|Comedy|Crime,Studio Babelsberg|Mandalay Vision|1984 Private Defense Contractors,2/6/15,2015
1.021441,0,3643591,Last Knights,Kazuaki Kiriya,Action|Adventure,Czech Anglo Productions|Luka Productions,4/3/15,2015
1.008474,12000000,0,Il racconto dei racconti,Matteo Garrone,Romance|Fantasy|Horror,HanWay Films|Rai Cinema|Le Pacte|Fonds Eurimages du Conseil de l'Europe|Recorded Picture Company (RPC),5/14/15,2015
1.007054,11000000,27391084,Irrational Man,Woody Allen,Mystery|Drama,Sony Pictures|Gravier Productions,7/17/15,2015
0.973316,15000000,0,Queen of the Desert,Werner Herzog,Drama|History,Benaroya Pictures|H Films|Raslan Company of America,9/3/15,2015
0.956096,18000000,41325328,Ricki and the Flash,Jonathan Demme,Comedy|Drama|Music,Columbia TriStar|Clinica Estetico|LStar Capital,7/10/15,2015
0.953647,0,0,Miss You Already,Catherine Hardwicke,Comedy|Drama|Romance,S Films|New Sparta Films,9/12/15,2015
0.953046,630019,0,Kung Fury,David Sandberg,Action|Comedy|Science Fiction|Fantasy,Laser Unicorns,5/28/15,2015
0.950793,12000000,60273173,The Perfect Guy,David M. Rosenthal,Drama|Thriller,Screen Gems,9/11/15,2015
0.938432,0,1936524,A Bigger Splash,Luca Guadagnino,Crime|Drama|Mystery|Thriller,StudioCanal|Ministero per i Beni e le AttivitÃ  Culturali (MiBAC)|Frenesy Film Company|Sensi Contemporanei Cinema e Audiovisivo|Cota Film,11/26/15,2015
0.93762,10000000,7587485,While We're Young,Noah Baumbach,Drama|Comedy,Scott Rudin Productions|A24,3/27/15,2015
0.927339,40000000,106511453,Get Hard,Etan Cohen,Comedy,Gary Sanchez Productions|Warner Bros.,3/26/15,2015
0.91704,0,0,Kidnapping Mr. Heineken,Daniel Alfredson,Drama|Action|Crime|Thriller,Umedia|Informant Europe SPRL|European Film Company,3/12/15,2015
0.913085,60000000,0,The Ridiculous 6,Frank Coraci,Comedy|Western,Happy Madison Productions,12/11/15,2015
0.90686,0,0,Kill Me Three Times,Kriv Stenders,Comedy|Thriller,Parabolic Pictures|Stable Way Entertainment|Cargo Films|Media House Capital,4/10/15,2015
0.906036,25000000,24902723,The 33,Patricia Riggen,History|Drama,Alcon Entertainment|Phoenix Pictures|Fabula|Half Circle,8/6/15,2015
0.898296,14000000,16002420,Suffragette,Sarah Gavron,Drama|History,Ruby Films|PathÃ©|Film4,10/16/15,2015
0.894477,0,0,45 Years,Andrew Haigh,Drama,The Bureau,8/28/15,2015
0.880938,6000000,11122090,We Are Your Friends,Max Joseph,Drama|Music|Romance,Working Title Films,8/26/15,2015
